"Date Time, GMT-04:00","Counts, # (LGR S/N: 10237654, SEN S/N: 10237654, LBL: Norwood 25 Ton RTU 9 480V100A)","Energy, kWh (LGR S/N: 10237654)","Avg Power, kW (LGR S/N: 10237654)",Host Connected (LGR S/N: 10237654),Stopped (LGR S/N: 10237654),End Of File (LGR S/N: 10237654)
6/5/2017 11:29,0,0,0,,,
6/5/2017 11:34,0,0,0,,,
6/5/2017 11:39,7,0.0202,0.2424,,,
6/5/2017 11:44,0,0,0,,,
6/5/2017 11:49,0,0,0,,,
6/5/2017 11:54,0,0,0,,,
6/5/2017 11:59,0,0,0,,,
6/5/2017 12:04,59,0.1702,2.0429,,,
6/5/2017 12:09,226,0.6521,7.8255,,,
6/5/2017 12:14,228,0.6579,7.8947,,,
6/5/2017 12:19,227,0.655,7.8601,,,
6/5/2017 12:24,228,0.6579,7.8947,,,
6/5/2017 12:29,235,0.6781,8.1371,,,
6/5/2017 12:34,229,0.6608,7.9294,,,
6/5/2017 12:39,228,0.6579,7.8947,,,
6/5/2017 12:44,230,0.6637,7.964,,,
6/5/2017 12:49,228,0.6579,7.8947,,,
6/5/2017 12:54,230,0.6637,7.964,,,
6/5/2017 12:59,229,0.6608,7.9294,,,
6/5/2017 13:04,230,0.6637,7.964,,,
6/5/2017 13:09,228,0.6579,7.8947,,,
6/5/2017 13:14,230,0.6637,7.964,,,
6/5/2017 13:19,228,0.6579,7.8947,,,
6/5/2017 13:24,231,0.6666,7.9986,,,
6/5/2017 13:29,232,0.6694,8.0332,,,
6/5/2017 13:34,233,0.6723,8.0679,,,
6/5/2017 13:39,233,0.6723,8.0679,,,
6/5/2017 13:44,232,0.6694,8.0332,,,
6/5/2017 13:49,232,0.6694,8.0332,,,
6/5/2017 13:54,232,0.6694,8.0332,,,
6/5/2017 13:59,233,0.6723,8.0679,,,
6/5/2017 14:04,230,0.6637,7.964,,,
6/5/2017 14:09,229,0.6608,7.9294,,,
6/5/2017 14:14,229,0.6608,7.9294,,,
6/5/2017 14:19,213,0.6146,7.3753,,,
6/5/2017 14:24,33,0.0952,1.1427,,,
6/5/2017 14:29,218,0.629,7.5485,,,
6/5/2017 14:34,229,0.6608,7.9294,,,
6/5/2017 14:39,231,0.6666,7.9986,,,
6/5/2017 14:44,230,0.6637,7.964,,,
6/5/2017 14:49,229,0.6608,7.9294,,,
6/5/2017 14:54,229,0.6608,7.9294,,,
6/5/2017 14:59,228,0.6579,7.8947,,,
6/5/2017 15:04,229,0.6608,7.9294,,,
6/5/2017 15:09,228,0.6579,7.8947,,,
6/5/2017 15:14,228,0.6579,7.8947,,,
6/5/2017 15:19,226,0.6521,7.8255,,,
6/5/2017 15:24,226,0.6521,7.8255,,,
6/5/2017 15:29,228,0.6579,7.8947,,,
6/5/2017 15:34,227,0.655,7.8601,,,
6/5/2017 15:39,227,0.655,7.8601,,,
6/5/2017 15:44,228,0.6579,7.8947,,,
6/5/2017 15:49,227,0.655,7.8601,,,
6/5/2017 15:54,230,0.6637,7.964,,,
6/5/2017 15:59,230,0.6637,7.964,,,
6/5/2017 16:04,232,0.6694,8.0332,,,
6/5/2017 16:09,231,0.6666,7.9986,,,
6/5/2017 16:14,232,0.6694,8.0332,,,
6/5/2017 16:19,231,0.6666,7.9986,,,
6/5/2017 16:24,232,0.6694,8.0332,,,
6/5/2017 16:29,232,0.6694,8.0332,,,
6/5/2017 16:34,232,0.6694,8.0332,,,
6/5/2017 16:39,232,0.6694,8.0332,,,
6/5/2017 16:44,232,0.6694,8.0332,,,
6/5/2017 16:49,232,0.6694,8.0332,,,
6/5/2017 16:54,233,0.6723,8.0679,,,
6/5/2017 16:59,234,0.6752,8.1025,,,
6/5/2017 17:04,234,0.6752,8.1025,,,
6/5/2017 17:09,235,0.6781,8.1371,,,
6/5/2017 17:14,236,0.681,8.1717,,,
6/5/2017 17:19,234,0.6752,8.1025,,,
6/5/2017 17:24,233,0.6723,8.0679,,,
6/5/2017 17:29,231,0.6666,7.9986,,,
6/5/2017 17:34,231,0.6666,7.9986,,,
6/5/2017 17:39,229,0.6608,7.9294,,,
6/5/2017 17:44,229,0.6608,7.9294,,,
6/5/2017 17:49,227,0.655,7.8601,,,
6/5/2017 17:54,228,0.6579,7.8947,,,
6/5/2017 17:59,226,0.6521,7.8255,,,
6/5/2017 18:04,222,0.6406,7.687,,,
6/5/2017 18:09,220,0.6348,7.6177,,,
6/5/2017 18:14,218,0.629,7.5485,,,
6/5/2017 18:19,218,0.629,7.5485,,,
6/5/2017 18:24,219,0.6319,7.5831,,,
6/5/2017 18:29,221,0.6377,7.6523,,,
6/5/2017 18:34,220,0.6348,7.6177,,,
6/5/2017 18:39,221,0.6377,7.6523,,,
6/5/2017 18:44,221,0.6377,7.6523,,,
6/5/2017 18:49,222,0.6406,7.687,,,
6/5/2017 18:54,223,0.6435,7.7216,,,
6/5/2017 18:59,222,0.6406,7.687,,,
6/5/2017 19:04,222,0.6406,7.687,,,
6/5/2017 19:09,223,0.6435,7.7216,,,
6/5/2017 19:14,222,0.6406,7.687,,,
6/5/2017 19:19,221,0.6377,7.6523,,,
6/5/2017 19:24,221,0.6377,7.6523,,,
6/5/2017 19:29,222,0.6406,7.687,,,
6/5/2017 19:34,221,0.6377,7.6523,,,
6/5/2017 19:39,221,0.6377,7.6523,,,
6/5/2017 19:44,220,0.6348,7.6177,,,
6/5/2017 19:49,221,0.6377,7.6523,,,
6/5/2017 19:54,220,0.6348,7.6177,,,
6/5/2017 19:59,219,0.6319,7.5831,,,
6/5/2017 20:04,220,0.6348,7.6177,,,
6/5/2017 20:09,218,0.629,7.5485,,,
6/5/2017 20:14,218,0.629,7.5485,,,
6/5/2017 20:19,218,0.629,7.5485,,,
6/5/2017 20:24,218,0.629,7.5485,,,
6/5/2017 20:29,218,0.629,7.5485,,,
6/5/2017 20:34,217,0.6262,7.5138,,,
6/5/2017 20:39,217,0.6262,7.5138,,,
6/5/2017 20:44,217,0.6262,7.5138,,,
6/5/2017 20:49,217,0.6262,7.5138,,,
6/5/2017 20:54,217,0.6262,7.5138,,,
6/5/2017 20:59,216,0.6233,7.4792,,,
6/5/2017 21:04,217,0.6262,7.5138,,,
6/5/2017 21:09,216,0.6233,7.4792,,,
6/5/2017 21:14,216,0.6233,7.4792,,,
6/5/2017 21:19,216,0.6233,7.4792,,,
6/5/2017 21:24,215,0.6204,7.4446,,,
6/5/2017 21:29,216,0.6233,7.4792,,,
6/5/2017 21:34,215,0.6204,7.4446,,,
6/5/2017 21:39,214,0.6175,7.41,,,
6/5/2017 21:44,215,0.6204,7.4446,,,
6/5/2017 21:49,214,0.6175,7.41,,,
6/5/2017 21:54,213,0.6146,7.3753,,,
6/5/2017 21:59,213,0.6146,7.3753,,,
6/5/2017 22:04,214,0.6175,7.41,,,
6/5/2017 22:09,213,0.6146,7.3753,,,
6/5/2017 22:14,213,0.6146,7.3753,,,
6/5/2017 22:19,212,0.6117,7.3407,,,
6/5/2017 22:24,212,0.6117,7.3407,,,
6/5/2017 22:29,211,0.6088,7.3061,,,
6/5/2017 22:34,210,0.606,7.2715,,,
6/5/2017 22:39,212,0.6117,7.3407,,,
6/5/2017 22:44,210,0.606,7.2715,,,
6/5/2017 22:49,211,0.6088,7.3061,,,
6/5/2017 22:54,210,0.606,7.2715,,,
6/5/2017 22:59,211,0.6088,7.3061,,,
6/5/2017 23:04,210,0.606,7.2715,,,
6/5/2017 23:09,209,0.6031,7.2368,,,
6/5/2017 23:14,209,0.6031,7.2368,,,
6/5/2017 23:19,208,0.6002,7.2022,,,
6/5/2017 23:24,208,0.6002,7.2022,,,
6/5/2017 23:29,208,0.6002,7.2022,,,
6/5/2017 23:34,207,0.5973,7.1676,,,
6/5/2017 23:39,206,0.5944,7.133,,,
6/5/2017 23:44,207,0.5973,7.1676,,,
6/5/2017 23:49,205,0.5915,7.0983,,,
6/5/2017 23:54,206,0.5944,7.133,,,
6/5/2017 23:59,205,0.5915,7.0983,,,
6/6/2017 0:04,205,0.5915,7.0983,,,
6/6/2017 0:09,204,0.5886,7.0637,,,
6/6/2017 0:14,204,0.5886,7.0637,,,
6/6/2017 0:19,204,0.5886,7.0637,,,
6/6/2017 0:24,204,0.5886,7.0637,,,
6/6/2017 0:29,204,0.5886,7.0637,,,
6/6/2017 0:34,203,0.5858,7.0291,,,
6/6/2017 0:39,204,0.5886,7.0637,,,
6/6/2017 0:44,203,0.5858,7.0291,,,
6/6/2017 0:49,203,0.5858,7.0291,,,
6/6/2017 0:54,203,0.5858,7.0291,,,
6/6/2017 0:59,203,0.5858,7.0291,,,
6/6/2017 1:04,203,0.5858,7.0291,,,
6/6/2017 1:09,202,0.5829,6.9945,,,
6/6/2017 1:14,203,0.5858,7.0291,,,
6/6/2017 1:19,202,0.5829,6.9945,,,
6/6/2017 1:24,202,0.5829,6.9945,,,
6/6/2017 1:29,202,0.5829,6.9945,,,
6/6/2017 1:34,201,0.58,6.9598,,,
6/6/2017 1:39,202,0.5829,6.9945,,,
6/6/2017 1:44,202,0.5829,6.9945,,,
6/6/2017 1:49,201,0.58,6.9598,,,
6/6/2017 1:54,202,0.5829,6.9945,,,
6/6/2017 1:59,201,0.58,6.9598,,,
6/6/2017 2:04,201,0.58,6.9598,,,
6/6/2017 2:09,201,0.58,6.9598,,,
6/6/2017 2:14,201,0.58,6.9598,,,
6/6/2017 2:19,201,0.58,6.9598,,,
6/6/2017 2:24,201,0.58,6.9598,,,
6/6/2017 2:29,200,0.5771,6.9252,,,
6/6/2017 2:34,200,0.5771,6.9252,,,
6/6/2017 2:39,201,0.58,6.9598,,,
6/6/2017 2:44,200,0.5771,6.9252,,,
6/6/2017 2:49,200,0.5771,6.9252,,,
6/6/2017 2:54,213,0.6146,7.3753,,,
