"Plot Title: 10272359"
"#","Date Time, GMT-07:00","Light (LGR S/N: 10272359, SEN S/N: 10272359)","Internal Calibration (LGR S/N: 10272359)","Host Connected (LGR S/N: 10272359)","Stopped (LGR S/N: 10272359)","End Of File (LGR S/N: 10272359)"
1,06/05/17 08:00:00 AM,0.00,Logged,,,
2,06/05/17 10:18:26 AM,1.00,,,,
3,06/05/17 10:18:27 AM,0.00,,,,
4,06/05/17 10:18:28 AM,1.00,,,,
5,06/05/17 10:18:58 AM,0.00,,,,
6,06/05/17 10:19:41 AM,1.00,,,,
7,06/05/17 10:46:22 AM,0.00,,,,
8,06/05/17 10:48:48 AM,1.00,,,,
9,06/05/17 11:21:12 AM,0.00,,,,
10,06/05/17 11:21:38 AM,1.00,,,,
11,06/05/17 11:21:40 AM,0.00,,,,
12,06/05/17 11:28:30 AM,1.00,,,,
13,06/05/17 11:28:34 AM,0.00,,,,
14,06/05/17 11:31:23 AM,1.00,,,,
15,06/05/17 11:34:06 AM,0.00,,,,
16,06/05/17 11:36:58 AM,1.00,,,,
17,06/05/17 11:37:18 AM,0.00,,,,
18,06/05/17 11:37:28 AM,1.00,,,,
19,06/05/17 11:37:52 AM,0.00,,,,
20,06/05/17 11:39:16 AM,1.00,,,,
21,06/05/17 11:39:29 AM,0.00,,,,
22,06/05/17 11:40:11 AM,1.00,,,,
23,06/05/17 11:40:26 AM,0.00,,,,
24,06/05/17 11:53:50 AM,1.00,,,,
25,06/05/17 11:54:00 AM,0.00,,,,
26,06/05/17 12:22:32 PM,1.00,,,,
27,06/05/17 12:22:35 PM,0.00,,,,
28,06/05/17 01:31:04 PM,1.00,,,,
29,06/05/17 01:32:13 PM,0.00,,,,
30,06/05/17 01:45:07 PM,1.00,,,,
31,06/05/17 01:45:09 PM,0.00,,,,
32,06/05/17 01:45:14 PM,1.00,,,,
33,06/05/17 01:45:15 PM,0.00,,,,
34,06/05/17 01:45:16 PM,1.00,,,,
35,06/05/17 01:45:50 PM,0.00,,,,
36,06/05/17 01:46:12 PM,1.00,,,,
37,06/05/17 01:46:16 PM,0.00,,,,
38,06/05/17 01:46:19 PM,1.00,,,,
39,06/05/17 01:46:35 PM,0.00,,,,
40,06/05/17 01:46:45 PM,1.00,,,,
41,06/05/17 01:46:51 PM,0.00,,,,
42,06/05/17 01:47:07 PM,1.00,,,,
43,06/05/17 01:47:12 PM,0.00,,,,
44,06/05/17 01:47:20 PM,1.00,,,,
45,06/05/17 01:47:24 PM,0.00,,,,
46,06/05/17 01:47:37 PM,1.00,,,,
47,06/05/17 01:47:41 PM,0.00,,,,
48,06/05/17 01:47:48 PM,1.00,,,,
49,06/05/17 01:47:52 PM,0.00,,,,
50,06/05/17 01:48:01 PM,1.00,,,,
51,06/05/17 01:50:44 PM,0.00,,,,
52,06/06/17 07:06:31 AM,1.00,,,,
53,06/06/17 07:06:33 AM,0.00,,,,
54,06/06/17 07:06:35 AM,1.00,,,,
55,06/06/17 07:06:36 AM,0.00,,,,
56,06/06/17 07:06:37 AM,1.00,,,,
57,06/06/17 07:08:30 AM,0.00,,,,
58,06/06/17 08:16:05 AM,1.00,,,,
59,06/06/17 08:16:31 AM,0.00,,,,
60,06/06/17 08:23:13 AM,1.00,,,,
61,06/06/17 08:24:26 AM,0.00,,,,
62,06/06/17 08:39:42 AM,1.00,,,,
63,06/06/17 08:39:54 AM,0.00,,,,
64,06/06/17 08:39:55 AM,1.00,,,,
65,06/06/17 08:39:56 AM,0.00,,,,
66,06/06/17 08:39:57 AM,1.00,,,,
67,06/06/17 08:45:34 AM,0.00,,,,
68,06/06/17 08:45:39 AM,1.00,,,,
69,06/06/17 08:51:01 AM,0.00,,,,
70,06/06/17 09:16:41 AM,1.00,,,,
71,06/06/17 09:17:17 AM,0.00,,,,
72,06/06/17 10:15:13 AM,1.00,,,,
73,06/06/17 10:15:23 AM,0.00,,,,
74,06/07/17 05:13:03 AM,1.00,,,,
75,06/07/17 05:13:05 AM,0.00,,,,
76,06/07/17 06:15:00 AM,1.00,,,,
77,06/07/17 06:18:13 AM,0.00,,,,
78,06/07/17 06:18:16 AM,1.00,,,,
79,06/07/17 06:18:25 AM,0.00,,,,
80,06/07/17 06:18:40 AM,1.00,,,,
81,06/07/17 06:18:44 AM,0.00,,,,
82,06/07/17 06:37:20 AM,1.00,,,,
83,06/07/17 06:37:23 AM,0.00,,,,
84,06/07/17 06:45:08 AM,1.00,,,,
85,06/07/17 06:45:15 AM,0.00,,,,
86,06/07/17 07:00:07 AM,1.00,,,,
87,06/07/17 07:00:09 AM,0.00,,,,
88,06/07/17 07:00:15 AM,1.00,,,,
89,06/07/17 07:00:17 AM,0.00,,,,
90,06/07/17 07:07:34 AM,1.00,,,,
91,06/07/17 07:07:36 AM,0.00,,,,
92,06/07/17 08:11:50 AM,1.00,,,,
93,06/07/17 08:12:08 AM,0.00,,,,
94,06/08/17 10:04:56 AM,1.00,,,,
95,06/08/17 10:05:11 AM,0.00,,,,
96,06/08/17 10:05:12 AM,1.00,,,,
97,06/08/17 10:05:13 AM,0.00,,,,
98,06/08/17 10:43:14 AM,1.00,,,,
99,06/08/17 10:43:15 AM,0.00,,,,
100,06/08/17 10:43:33 AM,1.00,,,,
101,06/08/17 10:43:45 AM,0.00,,,,
102,06/08/17 10:44:20 AM,1.00,,,,
103,06/08/17 10:44:21 AM,0.00,,,,
104,06/08/17 10:45:08 AM,1.00,,,,
105,06/08/17 10:45:09 AM,0.00,,,,
106,06/08/17 10:46:09 AM,1.00,,,,
107,06/08/17 10:46:12 AM,0.00,,,,
108,06/08/17 10:46:13 AM,1.00,,,,
109,06/08/17 10:46:15 AM,0.00,,,,
110,06/08/17 11:42:48 AM,1.00,,,,
111,06/08/17 11:42:49 AM,0.00,,,,
112,06/08/17 11:42:50 AM,1.00,,,,
113,06/08/17 11:42:51 AM,0.00,,,,
114,06/08/17 11:42:58 AM,1.00,,,,
115,06/08/17 11:43:00 AM,0.00,,,,
116,06/08/17 11:43:19 AM,1.00,,,,
117,06/08/17 11:43:22 AM,0.00,,,,
118,06/08/17 11:43:28 AM,1.00,,,,
119,06/08/17 11:43:30 AM,0.00,Logged,,,
120,06/08/17 11:43:31 AM,1.00,,,,
121,06/08/17 11:43:38 AM,0.00,,,,
122,06/08/17 11:43:45 AM,1.00,,,,
123,06/10/17 09:46:01 PM,0.00,,,,
124,06/11/17 08:03:52 PM,1.00,,,,
125,06/17/17 09:24:51 PM,0.00,,,,
126,06/18/17 08:00:29 PM,1.00,,,,
127,06/28/17 05:03:47 AM,0.00,,,,
128,06/28/17 05:17:28 AM,1.00,,,,
129,06/28/17 05:39:17 AM,0.00,,,,
130,06/28/17 06:21:55 AM,1.00,,,,
131,06/28/17 06:21:57 AM,0.00,,,,
132,06/28/17 06:25:19 AM,1.00,,,,
133,06/28/17 10:19:39 AM,0.00,,,,
134,06/28/17 10:21:44 AM,1.00,,,,
135,06/28/17 10:22:38 AM,0.00,,,,
136,06/28/17 10:24:38 AM,1.00,,,,
137,06/28/17 10:27:57 AM,0.00,,,,
138,06/28/17 10:31:18 AM,1.00,,,,
139,06/28/17 10:39:13 AM,0.00,,,,
140,06/28/17 10:42:06 AM,1.00,,,,
141,06/28/17 11:14:31 AM,0.00,,,,
142,06/28/17 11:15:41 AM,1.00,,,,
143,07/01/17 09:21:29 PM,0.00,,,,
144,07/05/17 03:38:48 AM,1.00,,,,
145,07/07/17 10:12:26 AM,0.00,,,,
146,07/07/17 10:12:57 AM,1.00,,,,
147,07/07/17 10:13:07 AM,0.00,,,,
148,07/07/17 10:51:05 AM,1.00,,,,
149,07/08/17 09:18:39 PM,0.00,,,,
150,07/09/17 08:15:52 PM,1.00,,,,
151,07/12/17 08:42:58 AM,0.00,,,,
152,07/12/17 08:43:29 AM,1.00,,,,
153,07/14/17 10:13:41 AM,0.00,,,,
154,07/14/17 10:14:12 AM,1.00,,,,
155,07/14/17 04:57:31 PM,0.00,,,,
156,07/14/17 05:03:10 PM,1.00,,,,
157,07/15/17 09:18:15 PM,0.00,,,,
158,07/16/17 09:36:55 PM,1.00,,,,
159,07/21/17 04:38:28 AM,0.00,,,,
160,07/21/17 04:38:59 AM,1.00,,,,
161,07/21/17 04:39:00 AM,0.00,,,,
162,07/21/17 06:39:40 AM,1.00,,,,
163,07/21/17 09:38:35 PM,0.00,,,,
164,07/23/17 07:58:55 PM,1.00,,,,
165,07/28/17 09:37:18 PM,0.00,,,,
166,07/30/17 09:10:50 PM,1.00,,,,
167,08/04/17 09:23:28 PM,0.00,,,,
168,08/06/17 08:11:51 PM,1.00,,,,
169,08/12/17 10:38:09 PM,0.00,,,,
170,08/13/17 08:14:07 PM,1.00,,,,
171,08/18/17 09:20:23 PM,0.00,,,,
172,08/20/17 08:30:29 PM,1.00,,,,
173,08/23/17 07:19:13 PM,0.00,,,,
174,08/23/17 07:23:22 PM,1.00,,,,
175,08/23/17 07:27:58 PM,0.00,,,,
176,08/24/17 03:28:59 AM,1.00,,,,
177,08/25/17 09:19:57 PM,0.00,,,,
178,08/26/17 05:01:36 AM,1.00,,,,
179,08/26/17 12:56:12 PM,0.00,,,,
180,08/26/17 01:12:41 PM,1.00,,,,
181,08/26/17 01:24:07 PM,0.00,,,,
182,08/27/17 08:39:48 PM,1.00,,,,
183,09/02/17 09:48:07 PM,0.00,,,,
184,09/05/17 03:47:57 AM,1.00,,,,
185,09/10/17 04:58:35 AM,0.00,,,,
186,09/10/17 08:18:32 PM,1.00,,,,
187,09/16/17 02:35:49 PM,0.00,,,,
188,09/16/17 02:35:50 PM,1.00,,,,
189,09/16/17 09:50:31 PM,0.00,,,,
190,09/17/17 08:57:17 PM,1.00,,,,
191,09/21/17 01:49:32 PM,0.00,,,,
192,09/21/17 01:49:33 PM,1.00,,,,
193,09/21/17 01:49:34 PM,0.00,,,,
194,09/21/17 01:49:47 PM,1.00,,,,
195,09/21/17 01:49:50 PM,0.00,,,,
196,09/21/17 01:49:51 PM,1.00,,,,
197,09/21/17 01:49:53 PM,0.00,,,,
198,09/21/17 01:50:01 PM,1.00,,,,
199,09/21/17 01:50:03 PM,0.00,,,,
200,09/21/17 01:50:05 PM,1.00,,,,
201,09/21/17 01:50:55 PM,0.00,,,,
202,09/21/17 01:50:58 PM,1.00,,,,
203,09/21/17 02:00:58 PM,0.00,,,,
204,09/21/17 02:54:28 PM,1.00,,,,
205,09/21/17 02:54:34 PM,0.00,,,,
206,09/22/17 04:57:08 AM,1.00,,,,
207,09/22/17 04:57:19 AM,0.00,,,,
208,09/22/17 04:57:29 AM,1.00,,,,
209,09/22/17 04:57:30 AM,0.00,,,,
210,09/22/17 04:57:31 AM,1.00,,,,
211,09/22/17 04:57:46 AM,0.00,,,,
212,09/22/17 04:57:47 AM,1.00,,,,
213,09/22/17 04:57:59 AM,0.00,,,,
214,09/22/17 04:58:01 AM,1.00,,,,
215,09/22/17 04:58:04 AM,0.00,,,,
216,09/22/17 05:28:14 AM,1.00,,,,
217,09/22/17 05:28:15 AM,0.00,,,,
218,09/22/17 05:28:17 AM,1.00,,,,
219,09/22/17 05:28:20 AM,0.00,,,,
220,09/22/17 05:28:25 AM,1.00,,,,
221,09/22/17 05:28:26 AM,0.00,,,,
222,09/28/17 08:52:54 AM,1.00,,,,
223,09/28/17 08:55:06 AM,0.00,,,,
224,09/28/17 08:55:07 AM,1.00,,,,
225,09/28/17 08:55:19 AM,0.00,,,,
226,09/28/17 08:55:21 AM,1.00,,,,
227,09/28/17 09:44:32 AM,0.00,,,,
228,09/28/17 09:44:34 AM,1.00,,,,
229,09/28/17 09:45:12 AM,0.00,,,,
230,09/28/17 09:45:13 AM,1.00,,,,
231,09/28/17 09:50:11 AM,0.00,,,,
232,09/28/17 09:50:12 AM,1.00,,,,
233,09/28/17 09:50:23 AM,0.00,,,,
234,09/28/17 12:51:31 PM,1.00,,,,
235,09/28/17 12:51:57 PM,0.00,,,,
236,09/28/17 12:51:58 PM,1.00,,,,
237,09/28/17 12:52:17 PM,0.00,,,,
238,09/28/17 12:52:20 PM,1.00,,,,
239,09/28/17 12:52:26 PM,0.00,,,,
240,09/28/17 01:02:33 PM,1.00,,,,
241,09/28/17 01:18:53 PM,0.00,,,,
242,10/06/17 01:59:15 PM,,,Logged,,
243,10/06/17 01:59:23 PM,0.00,,,Logged,Logged
