"Plot Title: Thrive Life - Condenser Pump"
"#","Date Time, GMT-06:00","AC Curr, Amps (LGR S/N: 10704364, SEN S/N: 10704364, LBL: Cond Pump Amps)","Safe Shutdown - Low Battery (LGR S/N: 10704364)","Stopped (LGR S/N: 10704364)","End Of File (LGR S/N: 10704364)"
1,06/03/16 02:54:00 PM,11.4116,,,
2,06/03/16 02:55:00 PM,11.3368,,,
3,06/03/16 02:56:00 PM,11.3594,,,
4,06/03/16 02:57:00 PM,11.3298,,,
5,06/03/16 02:58:00 PM,11.3677,,,
6,06/03/16 02:59:00 PM,11.3585,,,
7,06/03/16 03:00:00 PM,11.3265,,,
8,06/03/16 03:01:00 PM,11.3725,,,
9,06/03/16 03:02:00 PM,11.3429,,,
10,06/03/16 03:03:00 PM,11.3658,,,
11,06/03/16 03:04:00 PM,11.3603,,,
12,06/03/16 03:05:00 PM,11.3643,,,
13,06/03/16 03:06:00 PM,11.3045,,,
14,06/03/16 03:07:00 PM,11.3555,,,
15,06/03/16 03:08:00 PM,11.3484,,,
16,06/03/16 03:09:00 PM,11.3680,,,
17,06/03/16 03:10:00 PM,11.3536,,,
18,06/03/16 03:11:00 PM,11.3881,,,
19,06/03/16 03:12:00 PM,11.4134,,,
20,06/03/16 03:13:00 PM,11.4180,,,
21,06/03/16 03:14:00 PM,11.4000,,,
22,06/03/16 03:15:00 PM,11.3970,,,
23,06/03/16 03:16:00 PM,11.4321,,,
24,06/03/16 03:17:00 PM,11.4345,,,
25,06/03/16 03:18:00 PM,11.4025,,,
26,06/03/16 03:19:00 PM,11.3698,,,
27,06/03/16 03:20:00 PM,11.3802,,,
28,06/03/16 03:21:00 PM,11.3906,,,
29,06/03/16 03:22:00 PM,11.4452,,,
30,06/03/16 03:23:00 PM,11.3964,,,
31,06/03/16 03:24:00 PM,11.3820,,,
32,06/03/16 03:25:00 PM,11.4058,,,
33,06/03/16 03:26:00 PM,11.3948,,,
34,06/03/16 03:27:00 PM,11.3698,,,
35,06/03/16 03:28:00 PM,11.3741,,,
36,06/03/16 03:29:00 PM,11.3173,,,
37,06/03/16 03:30:00 PM,11.3478,,,
38,06/03/16 03:31:00 PM,11.3616,,,
39,06/03/16 03:32:00 PM,11.3668,,,
40,06/03/16 03:33:00 PM,11.3893,,,
41,06/03/16 03:34:00 PM,11.4205,,,
42,06/03/16 03:35:00 PM,11.3533,,,
43,06/03/16 03:36:00 PM,11.3463,,,
44,06/03/16 03:37:00 PM,11.3982,,,
45,06/03/16 03:38:00 PM,11.3845,,,
46,06/03/16 03:39:00 PM,11.3292,,,
47,06/03/16 03:40:00 PM,11.3448,,,
48,06/03/16 03:41:00 PM,11.3637,,,
49,06/03/16 03:42:00 PM,11.3698,,,
50,06/03/16 03:43:00 PM,11.3747,,,
51,06/03/16 03:44:00 PM,11.3265,,,
52,06/03/16 03:45:00 PM,11.4034,,,
53,06/03/16 03:46:00 PM,11.3689,,,
54,06/03/16 03:47:00 PM,11.3179,,,
55,06/03/16 03:48:00 PM,11.3091,,,
56,06/03/16 03:49:00 PM,11.3677,,,
57,06/03/16 03:50:00 PM,11.3774,,,
58,06/03/16 03:51:00 PM,11.3484,,,
59,06/03/16 03:52:00 PM,11.4165,,,
60,06/03/16 03:53:00 PM,11.3451,,,
61,06/03/16 03:54:00 PM,11.3829,,,
62,06/03/16 03:55:00 PM,11.3286,,,
63,06/03/16 03:56:00 PM,11.3350,,,
64,06/03/16 03:57:00 PM,11.4058,,,
65,06/03/16 03:58:00 PM,11.3304,,,
66,06/03/16 03:59:00 PM,11.3286,,,
67,06/03/16 04:00:00 PM,11.3585,,,
68,06/03/16 04:01:00 PM,11.3347,,,
69,06/03/16 04:02:00 PM,11.3960,,,
